,Horse,current race,previous race
4,FLAME LILY(B050),243,184
5,FLAME LILY(B050),184,135
6,FLAME LILY(B050),135,079
7,FLAME LILY(B050),079,802
8,FLAME LILY(B050),802,762
9,FLAME LILY(B050),762,718
10,FLAME LILY(B050),718,663
11,FLAME LILY(B050),663,580
12,FLAME LILY(B050),580,501
13,FLAME LILY(B050),501,463
14,FLAME LILY(B050),463,399
15,FLAME LILY(B050),399,349
16,FLAME LILY(B050),349,277
17,FLAME LILY(B050),277,203
18,FLAME LILY(B050),203,678
19,FLAME LILY(B050),678,627
20,FLAME LILY(B050),627,545
21,FLAME LILY(B050),545,428
22,FLAME LILY(B050),428,358
23,FLAME LILY(B050),358,294
24,FLAME LILY(B050),294,237
25,FLAME LILY(B050),237,NA
0,FOODIE PRINCESS(C312),495,431
1,FOODIE PRINCESS(C312),431,386
2,FOODIE PRINCESS(C312),386,326
3,FOODIE PRINCESS(C312),326,287
4,FOODIE PRINCESS(C312),287,248
5,FOODIE PRINCESS(C312),248,162
6,FOODIE PRINCESS(C312),162,128
7,FOODIE PRINCESS(C312),128,059
8,FOODIE PRINCESS(C312),059,034
9,FOODIE PRINCESS(C312),034,769
10,FOODIE PRINCESS(C312),769,708
11,FOODIE PRINCESS(C312),708,NA
0,FORTUNE BRILLIANT(C499),437,366
1,FORTUNE BRILLIANT(C499),366,286
2,FORTUNE BRILLIANT(C499),286,NA
0,FRESH POWER(B067),509,460
1,FRESH POWER(B067),460,416
2,FRESH POWER(B067),416,360
3,FRESH POWER(B067),360,296
4,FRESH POWER(B067),296,242
5,FRESH POWER(B067),242,143
6,FRESH POWER(B067),143,071
7,FRESH POWER(B067),071,034
8,FRESH POWER(B067),034,762
9,FRESH POWER(B067),762,744
10,FRESH POWER(B067),744,653
11,FRESH POWER(B067),653,499
12,FRESH POWER(B067),499,410
13,FRESH POWER(B067),410,305
14,FRESH POWER(B067),305,204
15,FRESH POWER(B067),204,113
16,FRESH POWER(B067),113,058
17,FRESH POWER(B067),058,006
18,FRESH POWER(B067),006,801
19,FRESH POWER(B067),801,765
20,FRESH POWER(B067),765,722
21,FRESH POWER(B067),722,663
22,FRESH POWER(B067),663,598
23,FRESH POWER(B067),598,545
24,FRESH POWER(B067),545,450
25,FRESH POWER(B067),450,392
26,FRESH POWER(B067),392,313
27,FRESH POWER(B067),313,278
28,FRESH POWER(B067),278,184
29,FRESH POWER(B067),184,NA
0,FABULOUS EIGHT(B473),545,493
1,FABULOUS EIGHT(B473),493,541
2,FABULOUS EIGHT(B473),541,351
3,FABULOUS EIGHT(B473),351,297
4,FABULOUS EIGHT(B473),297,256
5,FABULOUS EIGHT(B473),256,NA
0,FANTASTIC FABIO(V364),505,411
1,FANTASTIC FABIO(V364),411,374
2,FANTASTIC FABIO(V364),374,338
3,FANTASTIC FABIO(V364),338,317
4,FANTASTIC FABIO(V364),317,252
5,FANTASTIC FABIO(V364),252,193
6,FANTASTIC FABIO(V364),193,164
7,FANTASTIC FABIO(V364),164,096
8,FANTASTIC FABIO(V364),096,055
9,FANTASTIC FABIO(V364),055,017
10,FANTASTIC FABIO(V364),017,800
11,FANTASTIC FABIO(V364),800,726
12,FANTASTIC FABIO(V364),726,646
13,FANTASTIC FABIO(V364),646,627
14,FANTASTIC FABIO(V364),627,587
15,FANTASTIC FABIO(V364),587,559
16,FANTASTIC FABIO(V364),559,527
17,FANTASTIC FABIO(V364),527,496
18,FANTASTIC FABIO(V364),496,320
19,FANTASTIC FABIO(V364),320,251
20,FANTASTIC FABIO(V364),251,194
21,FANTASTIC FABIO(V364),194,158
22,FANTASTIC FABIO(V364),158,102
23,FANTASTIC FABIO(V364),102,069
24,FANTASTIC FABIO(V364),069,032
25,FANTASTIC FABIO(V364),032,790
26,FANTASTIC FABIO(V364),790,753
27,FANTASTIC FABIO(V364),753,707
28,FANTASTIC FABIO(V364),707,613
29,FANTASTIC FABIO(V364),613,567
30,FANTASTIC FABIO(V364),567,458
31,FANTASTIC FABIO(V364),458,365
32,FANTASTIC FABIO(V364),365,211
33,FANTASTIC FABIO(V364),211,185
34,FANTASTIC FABIO(V364),185,156
35,FANTASTIC FABIO(V364),156,112
36,FANTASTIC FABIO(V364),112,056
37,FANTASTIC FABIO(V364),056,005
38,FANTASTIC FABIO(V364),005,NA
0,FOR FUN'S SAKE(D242),521,492
1,FOR FUN'S SAKE(D242),492,NA
0,FORTUNATE RUNNER(A292),548,072
1,FORTUNATE RUNNER(A292),072,041
2,FORTUNATE RUNNER(A292),041,809
3,FORTUNATE RUNNER(A292),809,650
4,FORTUNATE RUNNER(A292),650,560
5,FORTUNATE RUNNER(A292),560,473
6,FORTUNATE RUNNER(A292),473,410
7,FORTUNATE RUNNER(A292),410,277
8,FORTUNATE RUNNER(A292),277,167
9,FORTUNATE RUNNER(A292),167,095
10,FORTUNATE RUNNER(A292),095,041
11,FORTUNATE RUNNER(A292),041,786
12,FORTUNATE RUNNER(A292),786,735
13,FORTUNATE RUNNER(A292),735,661
14,FORTUNATE RUNNER(A292),661,590
15,FORTUNATE RUNNER(A292),590,076
16,FORTUNATE RUNNER(A292),076,NA
0,FORTUNE HERO(D245),493,NA
0,FAIRY TWINS(V222),484,429
1,FAIRY TWINS(V222),429,372
2,FAIRY TWINS(V222),372,322
3,FAIRY TWINS(V222),322,263
4,FAIRY TWINS(V222),263,207
5,FAIRY TWINS(V222),207,138
6,FAIRY TWINS(V222),138,057
7,FAIRY TWINS(V222),057,009
8,FAIRY TWINS(V222),009,804
9,FAIRY TWINS(V222),804,631
10,FAIRY TWINS(V222),631,610
11,FAIRY TWINS(V222),610,569
12,FAIRY TWINS(V222),569,512
13,FAIRY TWINS(V222),512,440
14,FAIRY TWINS(V222),440,355
15,FAIRY TWINS(V222),355,288
16,FAIRY TWINS(V222),288,252
17,FAIRY TWINS(V222),252,215
18,FAIRY TWINS(V222),215,088
19,FAIRY TWINS(V222),088,016
20,FAIRY TWINS(V222),016,445
21,FAIRY TWINS(V222),445,352
22,FAIRY TWINS(V222),352,247
23,FAIRY TWINS(V222),247,177
24,FAIRY TWINS(V222),177,108
25,FAIRY TWINS(V222),108,007
26,FAIRY TWINS(V222),007,293
27,FAIRY TWINS(V222),293,236
28,FAIRY TWINS(V222),236,146
29,FAIRY TWINS(V222),146,092
30,FAIRY TWINS(V222),092,020
31,FAIRY TWINS(V222),020,709
32,FAIRY TWINS(V222),709,624
33,FAIRY TWINS(V222),624,558
34,FAIRY TWINS(V222),558,NA
0,FIGHTER BOY(D152),509,454
1,FIGHTER BOY(D152),454,399
2,FIGHTER BOY(D152),399,NA
0,FIRE BALL(D087),558,466
1,FIRE BALL(D087),466,335
2,FIRE BALL(D087),335,NA
0,FLYING PHOTOS(D028),548,484
1,FLYING PHOTOS(D028),484,354
2,FLYING PHOTOS(D028),354,NA
0,FUN TIMES(B079),556,436
1,FUN TIMES(B079),436,363
2,FUN TIMES(B079),363,194
3,FUN TIMES(B079),194,173
4,FUN TIMES(B079),173,090
5,FUN TIMES(B079),090,041
6,FUN TIMES(B079),041,729
7,FUN TIMES(B079),729,688
8,FUN TIMES(B079),688,560
9,FUN TIMES(B079),560,481
10,FUN TIMES(B079),481,388
11,FUN TIMES(B079),388,277
12,FUN TIMES(B079),277,203
13,FUN TIMES(B079),203,113
14,FUN TIMES(B079),113,049
15,FUN TIMES(B079),049,506
16,FUN TIMES(B079),506,NA
0,FLYING GODSPELL(V376),523,409
1,FLYING GODSPELL(V376),409,334
2,FLYING GODSPELL(V376),334,241
3,FLYING GODSPELL(V376),241,173
4,FLYING GODSPELL(V376),173,134
5,FLYING GODSPELL(V376),134,059
6,FLYING GODSPELL(V376),059,736
7,FLYING GODSPELL(V376),736,695
8,FLYING GODSPELL(V376),695,567
9,FLYING GODSPELL(V376),567,484
10,FLYING GODSPELL(V376),484,268
11,FLYING GODSPELL(V376),268,223
12,FLYING GODSPELL(V376),223,165
13,FLYING GODSPELL(V376),165,141
14,FLYING GODSPELL(V376),141,037
15,FLYING GODSPELL(V376),037,745
16,FLYING GODSPELL(V376),745,690
17,FLYING GODSPELL(V376),690,669
18,FLYING GODSPELL(V376),669,642
19,FLYING GODSPELL(V376),642,615
20,FLYING GODSPELL(V376),615,569
21,FLYING GODSPELL(V376),569,487
22,FLYING GODSPELL(V376),487,459
23,FLYING GODSPELL(V376),459,366
24,FLYING GODSPELL(V376),366,342
25,FLYING GODSPELL(V376),342,239
26,FLYING GODSPELL(V376),239,158
27,FLYING GODSPELL(V376),158,112
28,FLYING GODSPELL(V376),112,060
29,FLYING GODSPELL(V376),060,024
30,FLYING GODSPELL(V376),024,014
31,FLYING GODSPELL(V376),014,NA
0,FULL POWER(C426),510,465
1,FULL POWER(C426),465,412
2,FULL POWER(C426),412,357
3,FULL POWER(C426),357,270
4,FULL POWER(C426),270,171
5,FULL POWER(C426),171,099
6,FULL POWER(C426),099,061
7,FULL POWER(C426),061,NA
0,FAITHFUL TRINITY(A247),485,318
1,FAITHFUL TRINITY(A247),318,202
2,FAITHFUL TRINITY(A247),202,154
3,FAITHFUL TRINITY(A247),154,099
4,FAITHFUL TRINITY(A247),099,052
5,FAITHFUL TRINITY(A247),052,021
6,FAITHFUL TRINITY(A247),021,802
7,FAITHFUL TRINITY(A247),802,762
8,FAITHFUL TRINITY(A247),762,718
9,FAITHFUL TRINITY(A247),718,680
10,FAITHFUL TRINITY(A247),680,644
11,FAITHFUL TRINITY(A247),644,598
12,FAITHFUL TRINITY(A247),598,531
13,FAITHFUL TRINITY(A247),531,475
14,FAITHFUL TRINITY(A247),475,365
15,FAITHFUL TRINITY(A247),365,289
16,FAITHFUL TRINITY(A247),289,234
17,FAITHFUL TRINITY(A247),234,195
18,FAITHFUL TRINITY(A247),195,066
19,FAITHFUL TRINITY(A247),066,031
20,FAITHFUL TRINITY(A247),031,793
21,FAITHFUL TRINITY(A247),793,740
22,FAITHFUL TRINITY(A247),740,656
23,FAITHFUL TRINITY(A247),656,553
24,FAITHFUL TRINITY(A247),553,537
25,FAITHFUL TRINITY(A247),537,489
26,FAITHFUL TRINITY(A247),489,463
27,FAITHFUL TRINITY(A247),463,316
28,FAITHFUL TRINITY(A247),316,279
29,FAITHFUL TRINITY(A247),279,198
30,FAITHFUL TRINITY(A247),198,153
31,FAITHFUL TRINITY(A247),153,NA
0,FOCUS(C254),556,477
1,FOCUS(C254),477,411
2,FOCUS(C254),411,353
3,FOCUS(C254),353,314
4,FOCUS(C254),314,261
5,FOCUS(C254),261,200
6,FOCUS(C254),200,156
7,FOCUS(C254),156,102
8,FOCUS(C254),102,795
9,FOCUS(C254),795,746
10,FOCUS(C254),746,685
11,FOCUS(C254),685,639
12,FOCUS(C254),639,NA
0,FOREVER BRIGHT(C305),278,184
1,FOREVER BRIGHT(C305),184,145
2,FOREVER BRIGHT(C305),145,771
3,FOREVER BRIGHT(C305),771,668
4,FOREVER BRIGHT(C305),668,NA
0,FOREVER SHARP(C467),548,456
1,FOREVER SHARP(C467),456,394
2,FOREVER SHARP(C467),394,328
3,FOREVER SHARP(C467),328,238
4,FOREVER SHARP(C467),238,058
5,FOREVER SHARP(C467),058,NA
0,FAMILY LEADER(C089),510,456
1,FAMILY LEADER(C089),456,419
2,FAMILY LEADER(C089),419,363
3,FAMILY LEADER(C089),363,309
4,FAMILY LEADER(C089),309,270
5,FAMILY LEADER(C089),270,171
6,FAMILY LEADER(C089),171,100
7,FAMILY LEADER(C089),100,052
8,FAMILY LEADER(C089),052,029
9,FAMILY LEADER(C089),029,781
10,FAMILY LEADER(C089),781,697
11,FAMILY LEADER(C089),697,680
12,FAMILY LEADER(C089),680,652
13,FAMILY LEADER(C089),652,593
14,FAMILY LEADER(C089),593,579
15,FAMILY LEADER(C089),579,541
16,FAMILY LEADER(C089),541,447
17,FAMILY LEADER(C089),447,394
18,FAMILY LEADER(C089),394,388
19,FAMILY LEADER(C089),388,342
20,FAMILY LEADER(C089),342,296
21,FAMILY LEADER(C089),296,255
22,FAMILY LEADER(C089),255,NA
0,FANTASTIC BOY(D013),555,510
1,FANTASTIC BOY(D013),510,458
2,FANTASTIC BOY(D013),458,395
3,FANTASTIC BOY(D013),395,328
4,FANTASTIC BOY(D013),328,250
5,FANTASTIC BOY(D013),250,143
6,FANTASTIC BOY(D013),143,088
7,FANTASTIC BOY(D013),088,NA
0,FARM BUMPER(C244),521,464
1,FARM BUMPER(C244),464,361
2,FARM BUMPER(C244),361,218
3,FARM BUMPER(C244),218,141
4,FARM BUMPER(C244),141,071
5,FARM BUMPER(C244),071,014
6,FARM BUMPER(C244),014,769
7,FARM BUMPER(C244),769,726
8,FARM BUMPER(C244),726,651
9,FARM BUMPER(C244),651,576
10,FARM BUMPER(C244),576,508
11,FARM BUMPER(C244),508,NA
0,FORTUNE PATROL(A245),565,501
1,FORTUNE PATROL(A245),501,465
2,FORTUNE PATROL(A245),465,419
3,FORTUNE PATROL(A245),419,308
4,FORTUNE PATROL(A245),308,266
5,FORTUNE PATROL(A245),266,238
6,FORTUNE PATROL(A245),238,752
7,FORTUNE PATROL(A245),752,697
8,FORTUNE PATROL(A245),697,648
9,FORTUNE PATROL(A245),648,578
10,FORTUNE PATROL(A245),578,435
11,FORTUNE PATROL(A245),435,358
12,FORTUNE PATROL(A245),358,331
13,FORTUNE PATROL(A245),331,248
14,FORTUNE PATROL(A245),248,210
15,FORTUNE PATROL(A245),210,158
16,FORTUNE PATROL(A245),158,113
17,FORTUNE PATROL(A245),113,786
18,FORTUNE PATROL(A245),786,732
19,FORTUNE PATROL(A245),732,677
20,FORTUNE PATROL(A245),677,592
21,FORTUNE PATROL(A245),592,542
22,FORTUNE PATROL(A245),542,492
23,FORTUNE PATROL(A245),492,426
24,FORTUNE PATROL(A245),426,372
25,FORTUNE PATROL(A245),372,315
26,FORTUNE PATROL(A245),315,244
27,FORTUNE PATROL(A245),244,188
28,FORTUNE PATROL(A245),188,NA
0,FLYING NOBLE(A267),473,105
1,FLYING NOBLE(A267),105,032
2,FLYING NOBLE(A267),032,013
3,FLYING NOBLE(A267),013,782
4,FLYING NOBLE(A267),782,590
5,FLYING NOBLE(A267),590,557
6,FLYING NOBLE(A267),557,520
7,FLYING NOBLE(A267),520,442
8,FLYING NOBLE(A267),442,369
9,FLYING NOBLE(A267),369,265
10,FLYING NOBLE(A267),265,230
11,FLYING NOBLE(A267),230,175
12,FLYING NOBLE(A267),175,123
13,FLYING NOBLE(A267),123,080
14,FLYING NOBLE(A267),080,037
15,FLYING NOBLE(A267),037,791
16,FLYING NOBLE(A267),791,754
17,FLYING NOBLE(A267),754,627
18,FLYING NOBLE(A267),627,570
19,FLYING NOBLE(A267),570,545
20,FLYING NOBLE(A267),545,484
21,FLYING NOBLE(A267),484,394
22,FLYING NOBLE(A267),394,278
23,FLYING NOBLE(A267),278,220
24,FLYING NOBLE(A267),220,131
25,FLYING NOBLE(A267),131,073
26,FLYING NOBLE(A267),073,NA
0,FLYING MONKEY(T361),564,491
1,FLYING MONKEY(T361),491,383
2,FLYING MONKEY(T361),383,333
3,FLYING MONKEY(T361),333,237
4,FLYING MONKEY(T361),237,182
5,FLYING MONKEY(T361),182,142
6,FLYING MONKEY(T361),142,026
7,FLYING MONKEY(T361),026,798
8,FLYING MONKEY(T361),798,761
9,FLYING MONKEY(T361),761,698
10,FLYING MONKEY(T361),698,607
11,FLYING MONKEY(T361),607,472
12,FLYING MONKEY(T361),472,417
13,FLYING MONKEY(T361),417,344
14,FLYING MONKEY(T361),344,287
15,FLYING MONKEY(T361),287,214
16,FLYING MONKEY(T361),214,087
17,FLYING MONKEY(T361),087,013
18,FLYING MONKEY(T361),013,791
19,FLYING MONKEY(T361),791,727
20,FLYING MONKEY(T361),727,670
21,FLYING MONKEY(T361),670,496
22,FLYING MONKEY(T361),496,441
23,FLYING MONKEY(T361),441,014
24,FLYING MONKEY(T361),014,NA
0,FORTUNE BUDDY(B444),152,769
1,FORTUNE BUDDY(B444),769,705
2,FORTUNE BUDDY(B444),705,606
3,FORTUNE BUDDY(B444),606,560
4,FORTUNE BUDDY(B444),560,471
5,FORTUNE BUDDY(B444),471,NA
0,FIRE AND GOLD(B004),464,361
1,FIRE AND GOLD(B004),361,267
2,FIRE AND GOLD(B004),267,218
3,FIRE AND GOLD(B004),218,141
4,FIRE AND GOLD(B004),141,124
5,FIRE AND GOLD(B004),124,078
6,FIRE AND GOLD(B004),078,032
7,FIRE AND GOLD(B004),032,011
8,FIRE AND GOLD(B004),011,434
9,FIRE AND GOLD(B004),434,396
10,FIRE AND GOLD(B004),396,323
11,FIRE AND GOLD(B004),323,283
12,FIRE AND GOLD(B004),283,247
13,FIRE AND GOLD(B004),247,164
14,FIRE AND GOLD(B004),164,068
15,FIRE AND GOLD(B004),068,030
16,FIRE AND GOLD(B004),030,735
17,FIRE AND GOLD(B004),735,626
18,FIRE AND GOLD(B004),626,539
19,FIRE AND GOLD(B004),539,487
20,FIRE AND GOLD(B004),487,431
21,FIRE AND GOLD(B004),431,311
22,FIRE AND GOLD(B004),311,NA
0,FOX CHEUNGER(B187),537,491
1,FOX CHEUNGER(B187),491,435
2,FOX CHEUNGER(B187),435,391
3,FOX CHEUNGER(B187),391,275
4,FOX CHEUNGER(B187),275,218
5,FOX CHEUNGER(B187),218,190
6,FOX CHEUNGER(B187),190,078
7,FOX CHEUNGER(B187),078,789
8,FOX CHEUNGER(B187),789,725
9,FOX CHEUNGER(B187),725,511
10,FOX CHEUNGER(B187),511,388
11,FOX CHEUNGER(B187),388,334
12,FOX CHEUNGER(B187),334,267
13,FOX CHEUNGER(B187),267,212
14,FOX CHEUNGER(B187),212,068
15,FOX CHEUNGER(B187),068,030
16,FOX CHEUNGER(B187),030,772
17,FOX CHEUNGER(B187),772,708
18,FOX CHEUNGER(B187),708,NA
0,FAIRY FLOSS(C236),564,537
1,FAIRY FLOSS(C236),537,435
2,FAIRY FLOSS(C236),435,361
3,FAIRY FLOSS(C236),361,307
4,FAIRY FLOSS(C236),307,267
5,FAIRY FLOSS(C236),267,227
6,FAIRY FLOSS(C236),227,091
7,FAIRY FLOSS(C236),091,783
8,FAIRY FLOSS(C236),783,709
9,FAIRY FLOSS(C236),709,650
10,FAIRY FLOSS(C236),650,538
11,FAIRY FLOSS(C236),538,NA
0,FORTUNE WAY(B120),537,373
1,FORTUNE WAY(B120),373,087
2,FORTUNE WAY(B120),087,039
3,FORTUNE WAY(B120),039,395
4,FORTUNE WAY(B120),395,369
5,FORTUNE WAY(B120),369,292
6,FORTUNE WAY(B120),292,780
7,FORTUNE WAY(B120),780,714
8,FORTUNE WAY(B120),714,663
9,FORTUNE WAY(B120),663,627
10,FORTUNE WAY(B120),627,570
11,FORTUNE WAY(B120),570,522
12,FORTUNE WAY(B120),522,470
13,FORTUNE WAY(B120),470,431
14,FORTUNE WAY(B120),431,NA
0,GLORIOUS FOREVER(B236),234,176
1,GLORIOUS FOREVER(B236),176,112
2,GLORIOUS FOREVER(B236),112,691
3,GLORIOUS FOREVER(B236),691,618
4,GLORIOUS FOREVER(B236),618,430
5,GLORIOUS FOREVER(B236),430,372
6,GLORIOUS FOREVER(B236),372,243
7,GLORIOUS FOREVER(B236),243,187
8,GLORIOUS FOREVER(B236),187,151
9,GLORIOUS FOREVER(B236),151,112
10,GLORIOUS FOREVER(B236),112,781
11,GLORIOUS FOREVER(B236),781,740
12,GLORIOUS FOREVER(B236),740,682
13,GLORIOUS FOREVER(B236),682,563
14,GLORIOUS FOREVER(B236),563,NA
0,GOLDEN SIXTY(C238),516,441
1,GOLDEN SIXTY(C238),441,368
2,GOLDEN SIXTY(C238),368,300
3,GOLDEN SIXTY(C238),300,198
4,GOLDEN SIXTY(C238),198,113
5,GOLDEN SIXTY(C238),113,007
6,GOLDEN SIXTY(C238),007,797
7,GOLDEN SIXTY(C238),797,731
8,GOLDEN SIXTY(C238),731,612
9,GOLDEN SIXTY(C238),612,541
10,GOLDEN SIXTY(C238),541,NA
0,GOOD STANDING(B105),573,498
1,GOOD STANDING(B105),498,449
2,GOOD STANDING(B105),449,405
3,GOOD STANDING(B105),405,370
4,GOOD STANDING(B105),370,300
5,GOOD STANDING(B105),300,195
6,GOOD STANDING(B105),195,166
7,GOOD STANDING(B105),166,107
8,GOOD STANDING(B105),107,814
9,GOOD STANDING(B105),814,711
10,GOOD STANDING(B105),711,654
11,GOOD STANDING(B105),654,584
12,GOOD STANDING(B105),584,485
13,GOOD STANDING(B105),485,428
14,GOOD STANDING(B105),428,393
15,GOOD STANDING(B105),393,290
16,GOOD STANDING(B105),290,241
17,GOOD STANDING(B105),241,205
18,GOOD STANDING(B105),205,118
19,GOOD STANDING(B105),118,064
20,GOOD STANDING(B105),064,766
21,GOOD STANDING(B105),766,397
22,GOOD STANDING(B105),397,363
23,GOOD STANDING(B105),363,328
24,GOOD STANDING(B105),328,281
25,GOOD STANDING(B105),281,NA
0,GLORIOUS DRAGON(C120),442,421
1,GLORIOUS DRAGON(C120),421,364
2,GLORIOUS DRAGON(C120),364,273
3,GLORIOUS DRAGON(C120),273,225
4,GLORIOUS DRAGON(C120),225,168
5,GLORIOUS DRAGON(C120),168,094
6,GLORIOUS DRAGON(C120),094,777
7,GLORIOUS DRAGON(C120),777,609
8,GLORIOUS DRAGON(C120),609,502
9,GLORIOUS DRAGON(C120),502,449
10,GLORIOUS DRAGON(C120),449,404
11,GLORIOUS DRAGON(C120),404,NA
0,GLORIOUS ARTIST(B210),544,480
1,GLORIOUS ARTIST(B210),480,442
2,GLORIOUS ARTIST(B210),442,390
3,GLORIOUS ARTIST(B210),390,292
4,GLORIOUS ARTIST(B210),292,225
5,GLORIOUS ARTIST(B210),225,127
6,GLORIOUS ARTIST(B210),127,721
7,GLORIOUS ARTIST(B210),721,645
8,GLORIOUS ARTIST(B210),645,564
9,GLORIOUS ARTIST(B210),564,486
10,GLORIOUS ARTIST(B210),486,451
11,GLORIOUS ARTIST(B210),451,381
12,GLORIOUS ARTIST(B210),381,338
13,GLORIOUS ARTIST(B210),338,279
14,GLORIOUS ARTIST(B210),279,235
15,GLORIOUS ARTIST(B210),235,139
16,GLORIOUS ARTIST(B210),139,071
17,GLORIOUS ARTIST(B210),071,694
18,GLORIOUS ARTIST(B210),694,589
19,GLORIOUS ARTIST(B210),589,537
20,GLORIOUS ARTIST(B210),537,483
21,GLORIOUS ARTIST(B210),483,NA
0,GUNNISON(A377),536,451
1,GUNNISON(A377),451,434
2,GUNNISON(A377),434,379
3,GUNNISON(A377),379,350
4,GUNNISON(A377),350,292
5,GUNNISON(A377),292,235
6,GUNNISON(A377),235,166
7,GUNNISON(A377),166,107
8,GUNNISON(A377),107,060
9,GUNNISON(A377),060,689
10,GUNNISON(A377),689,599
11,GUNNISON(A377),599,478
12,GUNNISON(A377),478,420
13,GUNNISON(A377),420,271
14,GUNNISON(A377),271,225
15,GUNNISON(A377),225,162
16,GUNNISON(A377),162,136
17,GUNNISON(A377),136,089
18,GUNNISON(A377),089,795
19,GUNNISON(A377),795,704
20,GUNNISON(A377),704,674
21,GUNNISON(A377),674,648
22,GUNNISON(A377),648,594
23,GUNNISON(A377),594,556
24,GUNNISON(A377),556,510
25,GUNNISON(A377),510,464
26,GUNNISON(A377),464,NA
0,GOLD CHEST(C146),481,407
1,GOLD CHEST(C146),407,350
2,GOLD CHEST(C146),350,236
3,GOLD CHEST(C146),236,198
4,GOLD CHEST(C146),198,113
5,GOLD CHEST(C146),113,077
6,GOLD CHEST(C146),077,008
7,GOLD CHEST(C146),008,750
8,GOLD CHEST(C146),750,694
9,GOLD CHEST(C146),694,504
10,GOLD CHEST(C146),504,443
11,GOLD CHEST(C146),443,432
12,GOLD CHEST(C146),432,393
13,GOLD CHEST(C146),393,262
14,GOLD CHEST(C146),262,NA
0,GENTLE BREEZE(B343),562,451
1,GENTLE BREEZE(B343),451,379
2,GENTLE BREEZE(B343),379,244
3,GENTLE BREEZE(B343),244,204
4,GENTLE BREEZE(B343),204,158
5,GENTLE BREEZE(B343),158,054
6,GENTLE BREEZE(B343),054,009
7,GENTLE BREEZE(B343),009,761
8,GENTLE BREEZE(B343),761,722
9,GENTLE BREEZE(B343),722,586
10,GENTLE BREEZE(B343),586,551
11,GENTLE BREEZE(B343),551,491
12,GENTLE BREEZE(B343),491,459
13,GENTLE BREEZE(B343),459,382
14,GENTLE BREEZE(B343),382,307
15,GENTLE BREEZE(B343),307,252
16,GENTLE BREEZE(B343),252,175
17,GENTLE BREEZE(B343),175,123
18,GENTLE BREEZE(B343),123,096
19,GENTLE BREEZE(B343),096,761
20,GENTLE BREEZE(B343),761,732
21,GENTLE BREEZE(B343),732,NA
0,GLORIOUS SPECTRUM(C054),463,817
1,GLORIOUS SPECTRUM(C054),817,775
2,GLORIOUS SPECTRUM(C054),775,357
3,GLORIOUS SPECTRUM(C054),357,300
4,GLORIOUS SPECTRUM(C054),300,225
5,GLORIOUS SPECTRUM(C054),225,NA
0,GREEN LUCK(B413),573,449
1,GREEN LUCK(B413),449,405
2,GREEN LUCK(B413),405,380
3,GREEN LUCK(B413),380,292
4,GREEN LUCK(B413),292,225
5,GREEN LUCK(B413),225,195
6,GREEN LUCK(B413),195,084
7,GREEN LUCK(B413),084,049
8,GREEN LUCK(B413),049,024
9,GREEN LUCK(B413),024,786
10,GREEN LUCK(B413),786,721
11,GREEN LUCK(B413),721,626
12,GREEN LUCK(B413),626,468
13,GREEN LUCK(B413),468,432
14,GREEN LUCK(B413),432,373
15,GREEN LUCK(B413),373,347
16,GREEN LUCK(B413),347,263
17,GREEN LUCK(B413),263,197
18,GREEN LUCK(B413),197,178
19,GREEN LUCK(B413),178,132
20,GREEN LUCK(B413),132,NA
0,GENEROUS CHARITY(D268),514,463
1,GENEROUS CHARITY(D268),463,380
2,GENEROUS CHARITY(D268),380,NA
0,GRACEANDMERCY(C296),536,426
1,GRACEANDMERCY(C296),426,379
2,GRACEANDMERCY(C296),379,282
3,GRACEANDMERCY(C296),282,195
4,GRACEANDMERCY(C296),195,113
5,GRACEANDMERCY(C296),113,620
6,GRACEANDMERCY(C296),620,NA
0,GENERAL'S DELIGHT(D022),573,517
1,GENERAL'S DELIGHT(D022),517,144
2,GENERAL'S DELIGHT(D022),144,NA
0,GOOD BEAUTY(B384),529,499
1,GOOD BEAUTY(B384),499,439
2,GOOD BEAUTY(B384),439,406
3,GOOD BEAUTY(B384),406,347
4,GOOD BEAUTY(B384),347,301
5,GOOD BEAUTY(B384),301,274
6,GOOD BEAUTY(B384),274,131
7,GOOD BEAUTY(B384),131,075
8,GOOD BEAUTY(B384),075,815
9,GOOD BEAUTY(B384),815,745
10,GOOD BEAUTY(B384),745,712
11,GOOD BEAUTY(B384),712,673
12,GOOD BEAUTY(B384),673,537
13,GOOD BEAUTY(B384),537,495
14,GOOD BEAUTY(B384),495,433
15,GOOD BEAUTY(B384),433,375
16,GOOD BEAUTY(B384),375,282
17,GOOD BEAUTY(B384),282,216
18,GOOD BEAUTY(B384),216,161
19,GOOD BEAUTY(B384),161,125
20,GOOD BEAUTY(B384),125,090
21,GOOD BEAUTY(B384),090,059
22,GOOD BEAUTY(B384),059,009
23,GOOD BEAUTY(B384),009,806
24,GOOD BEAUTY(B384),806,767
25,GOOD BEAUTY(B384),767,NA
0,GAMEPLAYER TIMES(D269),525,479
1,GAMEPLAYER TIMES(D269),479,443
2,GAMEPLAYER TIMES(D269),443,NA
0,GOLDEN SPECTRUM(D188),513,461
1,GOLDEN SPECTRUM(D188),461,414
2,GOLDEN SPECTRUM(D188),414,369
3,GOLDEN SPECTRUM(D188),369,313
4,GOLDEN SPECTRUM(D188),313,NA
0,GUY DRAGON(B377),517,460
1,GUY DRAGON(B377),460,408
2,GUY DRAGON(B377),408,274
